Schaefer_Region,Brainnetome_Region,Overlap_Percentage
40,125,32.591414944356124
40,131,32.432432432432435
40,149,6.677265500794912
40,161,5.246422893481717
40,133,1.2718600953895072
40,147,0.1589825119236884
40,1,0.0
40,2,0.0
40,3,0.0
40,4,0.0
41,55,45.06666666666666
41,25,36.8
41,7,11.066666666666666
41,63,1.866666666666667
41,53,0.13333333333333333
41,1,0.0
41,2,0.0
41,3,0.0
41,4,0.0
41,5,0.0
42,7,43.68600682593857
42,3,19.624573378839592
42,25,17.4061433447099
42,23,5.460750853242321
42,1,0.0
42,2,0.0
42,4,0.0
42,5,0.0
42,6,0.0
42,8,0.0
43,63,65.21739130434783
43,17,9.903381642512077
43,29,9.178743961352657
43,53,4.5893719806763285
43,1,0.0
43,2,0.0
43,3,0.0
43,4,0.0
43,5,0.0
43,6,0.0
44,145,33.50694444444444
44,71,27.430555555555557
44,75,22.04861111111111
44,141,12.67361111111111
44,123,0.1736111111111111
44,1,0.0
44,2,0.0
44,3,0.0
44,4,0.0
44,5,0.0
45,145,50.79136690647482
45,139,33.38129496402878
45,157,3.884892086330935
45,159,2.5899280575539567
45,155,0.7194244604316548
45,71,0.28776978417266186
45,1,0.0
45,2,0.0
45,3,0.0
45,4,0.0
46,141,51.49812734082397
46,145,25.65543071161049
46,139,9.737827715355806
46,75,0.18726591760299627
46,1,0.0
46,2,0.0
46,3,0.0
46,4,0.0
46,5,0.0
46,6,0.0
47,169,32.577903682719544
47,173,20.821529745042493
47,171,16.997167138810198
47,163,12.747875354107649
47,73,5.240793201133145
47,77,2.4079320113314444
47,167,1.9830028328611897
47,165,1.2747875354107647
47,157,0.424929178470255
47,79,0.141643059490085
48,37,39.872068230277186
48,167,38.16631130063966
48,51,12.57995735607676
48,173,3.8379530916844353
48,165,0.21321961620469082
48,1,0.0
48,2,0.0
48,3,0.0
48,4,0.0
48,5,0.0
49,173,49.31506849315068
49,61,25.684931506849317
49,171,14.383561643835616
49,37,2.73972602739726
49,39,0.3424657534246575
49,1,0.0
49,2,0.0
49,3,0.0
49,4,0.0
49,5,0.0
50,63,33.73737373737374
50,39,23.03030303030303
50,173,9.090909090909092
50,29,8.686868686868687
50,61,8.080808080808081
50,53,4.646464646464646
50,37,3.6363636363636362
50,73,1.0101010101010102
50,167,0.40404040404040403
50,1,0.0
51,15,69.69465648854963
51,23,10.839694656488549
51,19,9.236641221374047
51,5,0.6870229007633588
51,21,0.3053435114503817
51,3,0.15267175572519084
51,1,0.0
51,2,0.0
51,4,0.0
51,6,0.0
52,183,35.80562659846547
52,1,32.992327365728904
52,9,14.066496163682865
52,179,2.941176470588235
52,11,2.557544757033248
52,177,1.4066496163682864
52,184,1.4066496163682864
52,180,0.639386189258312
52,2,0.0
52,3,0.0
53,185,39.61965134706815
53,149,37.08399366085578
53,65,12.519809825673534
53,153,1.2678288431061806
53,131,0.31695721077654515
53,150,0.15847860538827258
53,1,0.0
53,2,0.0
53,3,0.0
53,4,0.0
54,9,66.41221374045801
54,7,13.358778625954198
54,10,4.3893129770992365
54,1,3.2442748091603053
54,67,0.5725190839694656
54,68,0.19083969465648853
54,2,0.0
54,3,0.0
54,4,0.0
54,5,0.0
55,45,56.92599620493358
55,49,23.719165085388994
55,43,7.2106261859582546
55,165,1.5180265654648957
55,1,0.0
55,2,0.0
55,3,0.0
55,4,0.0
55,5,0.0
55,6,0.0
56,49,34.988713318284425
56,47,28.442437923250562
56,45,23.175319789315274
56,50,1.203912716328066
56,41,1.0534236267870578
56,48,0.601956358164033
56,223,0.4514672686230248
56,187,0.3009781790820165
56,27,0.15048908954100826
56,42,0.07524454477050413
